satellite , 1 , 0.11 , 0.61 , 0.76 , 0.93 , 0.67 , 0.4 , 1.0 , 0.5 , 0.77 , 0.74, 0.11
satellite , 2 , 0.06 , 0.62 , 0.78 , 1.0 , 0.75 , 0.6 , 0.5 , 0.25 , 0.75 , 0.78, 0.13
satellite , 3 , 0.04 , 0.59 , 0.76 , 0.93 , 0.75 , 0.6 , 0.5 , 0.25 , 0.74 , 0.74, 0.11
satellite , 4 , 0.03 , 0.63 , 0.87 , 0.93 , 0.75 , 0.6 , 0.5 , 0.25 , 0.81 , 0.74, 0.13
satellite , 5 , 0.03 , 0.67 , 0.93 , 0.93 , 0.5 , 0.6 , 1.0 , 0.5 , 0.82 , 0.78, 0.14
satellite , 6 , 0.02 , 0.59 , 0.85 , 0.79 , 0.57 , 0.8 , 0.67 , 0.5 , 0.74 , 0.74, 0.14
satellite , 7 , 0.02 , 0.44 , 0.75 , 0.64 , 0.4 , 0.8 , 0.5 , 0.5 , 0.58 , 0.65, 0.14
satellite , 8 , 0.02 , 0.56 , 0.92 , 0.86 , 0.36 , 0.8 , 0.67 , 0.5 , 0.67 , 0.78, 0.19
satellite , 9 , 0.02 , 0.58 , 0.92 , 0.86 , 0.4 , 0.8 , 0.67 , 0.5 , 0.69 , 0.78, 0.19
satellite , 10 , 0.02 , 0.5 , 0.86 , 0.86 , 0.25 , 0.6 , 1.0 , 0.5 , 0.61 , 0.74, 0.21
satellite , 11 , 0.02 , 0.7 , 0.93 , 1.0 , 0.5 , 0.6 , 1.0 , 0.5 , 0.83 , 0.83, 0.22
satellite , 12 , 0.02 , 0.78 , 0.93 , 1.0 , 0.57 , 0.8 , 1.0 , 0.75 , 0.84 , 0.91, 0.28
satellite , 13 , 0.02 , 0.55 , 0.92 , 0.86 , 0.33 , 0.8 , 0.67 , 0.5 , 0.64 , 0.78, 0.29
satellite , 14 , 0.02 , 0.62 , 0.86 , 0.86 , 0.57 , 0.8 , 0.67 , 0.5 , 0.75 , 0.78, 0.34
satellite , 15 , 0.02 , 0.63 , 1.0 , 0.86 , 0.42 , 1.0 , 1.0 , 0.5 , 0.73 , 0.83, 0.3
satellite , 16 , 0.02 , 0.63 , 1.0 , 0.86 , 0.42 , 1.0 , 1.0 , 0.5 , 0.73 , 0.83, 0.35
satellite , 17 , 0.02 , 0.63 , 0.93 , 0.93 , 0.5 , 0.8 , 0.5 , 0.5 , 0.73 , 0.83, 0.37
satellite , 18 , 0.03 , 0.66 , 0.87 , 0.93 , 0.57 , 0.8 , 0.67 , 0.5 , 0.76 , 0.83, 0.46
satellite , 19 , 0.03 , 0.81 , 0.93 , 1.0 , 0.83 , 1.0 , 0.67 , 0.5 , 0.88 , 0.91, 0.62
satellite , 20 , 0.03 , 0.58 , 0.86 , 0.86 , 0.44 , 0.8 , 0.67 , 0.5 , 0.69 , 0.78, 0.56
satellite , 21 , 0.03 , 0.68 , 1.0 , 0.86 , 0.5 , 1.0 , 1.0 , 0.5 , 0.79 , 0.83, 0.62
satellite , 22 , 0.03 , 0.77 , 1.0 , 0.93 , 0.63 , 1.0 , 1.0 , 0.5 , 0.87 , 0.87, 0.77
satellite , 23 , 0.04 , 0.78 , 1.0 , 0.93 , 0.56 , 1.0 , 1.0 , 0.75 , 0.84 , 0.91, 0.94
satellite , 24 , 0.05 , 0.66 , 0.93 , 0.93 , 0.44 , 0.8 , 1.0 , 0.5 , 0.76 , 0.83, 1.18
satellite , 25 , 0.04 , 0.63 , 0.93 , 0.93 , 0.45 , 1.0 , 0.5 , 0.5 , 0.69 , 0.87, 1.01
satellite , 26 , 0.05 , 0.7 , 0.93 , 0.93 , 0.45 , 1.0 , 1.0 , 0.75 , 0.75 , 0.91, 1.26
satellite , 27 , 0.06 , 0.71 , 0.87 , 0.93 , 0.8 , 0.8 , 0.6 , 0.75 , 0.8 , 0.87, 1.55
satellite , 28 , 0.04 , 0.63 , 1.0 , 0.86 , 0.42 , 1.0 , 1.0 , 0.5 , 0.73 , 0.83, 1.0
satellite , 29 , 0.11 , 0.53 , 0.92 , 0.86 , 0.31 , 0.8 , 0.67 , 0.5 , 0.62 , 0.78, 3.25
satellite , 30 , 0.11 , 0.78 , 1.0 , 0.93 , 0.56 , 1.0 , 1.0 , 0.75 , 0.84 , 0.91, 3.42
satellite , 31 , 0.11 , 0.63 , 0.87 , 0.93 , 0.5 , 0.8 , 0.67 , 0.5 , 0.73 , 0.83, 3.55
satellite , 32 , 0.07 , 0.83 , 1.0 , 0.93 , 1.0 , 1.0 , 0.67 , 0.5 , 0.95 , 0.87, 2.21
satellite , 33 , 0.15 , 0.58 , 0.92 , 0.86 , 0.36 , 0.8 , 1.0 , 0.5 , 0.69 , 0.78, 4.91
satellite , 34 , 0.1 , 0.75 , 0.93 , 1.0 , 0.56 , 1.0 , 1.0 , 0.5 , 0.81 , 0.91, 3.5
satellite , 35 , 0.17 , 0.63 , 0.86 , 0.86 , 0.5 , 0.8 , 0.75 , 0.75 , 0.73 , 0.83, 6.0
satellite , 36 , 0.13 , 0.66 , 0.87 , 0.93 , 0.57 , 0.8 , 0.67 , 0.5 , 0.76 , 0.83, 4.79
satellite , 37 , 0.08 , 0.84 , 1.0 , 1.0 , 0.83 , 1.0 , 0.67 , 0.5 , 0.91 , 0.91, 3.09
satellite , 38 , 0.11 , 0.7 , 0.92 , 0.86 , 0.63 , 1.0 , 1.0 , 0.5 , 0.83 , 0.83, 4.27
satellite , 39 , 0.33 , 0.8 , 1.0 , 0.93 , 0.71 , 1.0 , 1.0 , 0.5 , 0.91 , 0.87, 12.93
satellite , 40 , 0.99 , 0.69 , 1.0 , 0.93 , 0.5 , 1.0 , 0.67 , 0.5 , 0.77 , 0.87, 39.65
satellite , 41 , 0.26 , 0.7 , 1.0 , 0.86 , 0.56 , 1.0 , 1.0 , 0.5 , 0.83 , 0.83, 10.48
satellite , 42 , 0.54 , 0.7 , 1.0 , 0.86 , 0.56 , 1.0 , 1.0 , 0.5 , 0.83 , 0.83, 22.85
satellite , 43 , 0.23 , 0.68 , 0.92 , 0.86 , 0.63 , 1.0 , 0.67 , 0.5 , 0.79 , 0.83, 9.89
satellite , 44 , 0.12 , 0.7 , 0.93 , 0.93 , 0.67 , 0.8 , 0.67 , 0.5 , 0.83 , 0.83, 5.23
satellite , 45 , 0.2 , 0.7 , 0.92 , 0.86 , 0.71 , 1.0 , 0.67 , 0.5 , 0.83 , 0.83, 8.79
satellite , 46 , 0.19 , 0.77 , 1.0 , 0.93 , 0.63 , 1.0 , 1.0 , 0.5 , 0.87 , 0.87, 8.7
satellite , 47 , 0.29 , 0.81 , 0.93 , 1.0 , 0.71 , 1.0 , 1.0 , 0.5 , 0.88 , 0.91, 13.59
satellite , 48 , 0.53 , 0.77 , 1.0 , 0.93 , 0.57 , 0.8 , 1.0 , 0.75 , 0.87 , 0.87, 25.63
satellite , 49 , 0.4 , 0.63 , 1.0 , 0.93 , 0.36 , 0.8 , 1.0 , 0.5 , 0.73 , 0.83, 19.73
satellite , 50 , 0.93 , 0.74 , 1.0 , 0.93 , 0.56 , 1.0 , 1.0 , 0.5 , 0.83 , 0.87, 46.57
